+---------------------+---------------------+----------+----------+--------------+---------------+----------------+-------------+
| Date                | Date                |     Open |    Close |   Buy Signal |   Sell Signal |   Buy and Hold |    Strategy |
| 2003-07-21 00:00:00 | 2003-07-21 00:00:00 |  86.42   |  87.59   |            0 |             0 |     11.59      |   1656.15   |
| 2003-07-28 00:00:00 | 2003-07-28 00:00:00 |  85.1    |  86.46   |            0 |             0 |     10.46      |   1666.61   |
| 2003-08-04 00:00:00 | 2003-08-04 00:00:00 |  85.82   |  85.1    |            0 |             0 |      9.1       |   1675.71   |
| 2003-08-11 00:00:00 | 2003-08-11 00:00:00 |  87.76   |  85.81   |            0 |             0 |      9.81      |   1685.52   |
| 2003-08-18 00:00:00 | 2003-08-18 00:00:00 |  86.99   |  87.76   |            0 |             0 |     11.76      |   1697.28   |
| 2003-08-25 00:00:00 | 2003-08-25 00:00:00 |  88.49   |  87      |            0 |             0 |     11         |   1708.28   |
| 2003-09-01 00:00:00 | 2003-09-01 00:00:00 |  90.96   |  88.54   |            0 |             0 |     12.54      |   1720.82   |
| 2003-09-08 00:00:00 | 2003-09-08 00:00:00 |  90.73   |  91.48   |            0 |             1 |     15.48      |   1736.3    |
| 2003-09-15 00:00:00 | 2003-09-15 00:00:00 |  93.73   |  89.93   |            0 |             0 |     13.93      |   1750.23   |
| 2003-09-22 00:00:00 | 2003-09-22 00:00:00 |  84.7    |  92.9    |            0 |             1 |     16.9       |   1767.13   |
| 2003-09-29 00:00:00 | 2003-09-29 00:00:00 |  86.66   |  85.15   |            0 |             0 |      9.15      |   1776.28   |
| 2003-10-06 00:00:00 | 2003-10-06 00:00:00 |  86.94   |  86.66   |            0 |             0 |     10.66      |   1786.94   |
| 2003-10-13 00:00:00 | 2003-10-13 00:00:00 |  87.17   |  87.7    |            0 |             0 |     11.7       |   1798.64   |
| 2003-10-20 00:00:00 | 2003-10-20 00:00:00 |  85.82   |  87      |            0 |             0 |     11         |   1809.64   |
